"Gene","logFC_interaction","logFC_trt","logFC","FDR_interaction","FDR_trt","FDR"
"PSME_21469",16.3167248917474,-3.61326441935241,3.53154145495611,0.0120487861631075,0.840252022702824,0.902133548419462
"PSME_27306",-7.58832597190868,6.10601001544024,1.74504616597797,0.0120487861631075,0.00146876366607821,0.743295213580278
"PSME_31667",13.2942992072746,1.49712848732178,-1.41386831907554,0.0139414451719792,0.886085884462011,0.936649487490046
"PSME_38503",7.52369600784627,-0.0582266229574932,1.42357865757485,0.0139414451719792,0.994518438118452,0.89005356233103
"PSME_30375",14.707968398512,-4.92707410820863,3.16701696622805,0.0139414451719792,0.762612927352542,0.909083885076792
"PSME_29048",16.5290018315542,-1.23957382171092,6.01183853449461,0.0167979520826777,0.942832305104632,0.835615983663188
"PSME_51370",15.0732625328032,0.530995877772377,0.454235973663256,0.0167979520826777,0.973072405414371,0.989954371309617
"PSME_27294",-4.42253643990097,1.24873886181237,-0.896392084118138,0.0311550888545254,0.454379901943334,0.777792296335144
"PSME_23020",13.260861643155,1.48744207190549,0.00960182946625256,0.0331745447122457,0.899717430801963,1
"PSME_37466",10.8953822259672,-0.2874506561048,-0.574269592296506,0.0331745447122457,0.98354803914086,0.98044847755103
"PSME_13638",14.6110165505259,-1.86207666504494,2.01113854942196,0.0331745447122457,0.927975002263338,0.949649415681124
"PSME_42174",11.6728469934881,1.71048004198099,1.4638754827174,0.0331745447122457,0.851701126379939,0.948533507722661
"PSME_19388",-15.2790036591145,-1.03161538620463,5.51065124078163,0.0331745447122457,0.917920635515192,0.531934602191225
"PSME_51302",-4.04069014455773,4.09266855172704,0.322870425899115,0.0331745447122457,1.04151011721795e-06,0.945403829445047
"PSME_06003",10.3058752529233,-0.434040898299661,-0.348166896878257,0.0337581595422711,0.973279566966792,0.989834891604602
"PSME_12596",-2.83409181549968,1.15228328592831,-0.481409742115216,0.0413620490651339,0.122356161266509,0.820539678757652
"PSME_16206",13.7646494078423,-1.94159556286509,7.45454960707648,0.0413620490651339,0.904986321398762,0.66430216736423
"PSME_47136",9.18367030708312,-2.12051984967825,4.12583748662088,0.0413620490651339,0.727823216962675,0.354023230043536
"PSME_12910",16.4706310295372,-3.29045721704025,3.65440981082265,0.0413620490651339,0.882884178180689,0.918153645925967
"PSME_04115",8.98358103540249,0.63445714301221,-1.72461851127967,0.0413620490651339,0.947851533592025,0.867311889321298
"PSME_04789",-16.398869509822,1.52702450714268,6.91242829957419,0.0413620490651339,0.890969575523885,0.506204418135687
"PSME_31428",11.260992219082,1.6246747134929,0.122773482593099,0.0432156878992827,0.864864282523136,0.997599999718523
"PSME_11752",4.65327247493749,-2.92881172225263,2.20519459568021,0.0432156878992827,0.0324064120578219,0.238093800594168
"PSME_08506",12.4218339221118,-2.09449743108003,0.343872172587535,0.0488944064009364,0.894193277160569,0.989954371309617
"PSME_39647",4.19165288202382,-1.43177095845526,-0.0676005000970089,0.0498127542210747,0.405292787527152,0.991443046341776
"PSME_48863",-5.56955304174932,3.22060551225384,1.41319309685587,0.0498127542210747,0.0490470255753992,0.722932973609818
"PSME_40178",11.1874376128422,2.44066091988396,1.70800343321003,0.0498127542210747,0.738763008465003,0.939430848150062
"PSME_38415",4.26788744995053,-2.12645307597048,0.580131158023149,0.0498127542210747,0.123849247591374,0.908323308285899
"PSME_40947",7.96248928521692,-1.62084018138562,3.78652674496747,0.0498127542210747,0.825986147208141,0.480308381618078
